WELL_ID,DATE,BFPD,BOPD,BWPD,MSCF,BSW,GOR(MSFC/BPPD),GLR(SCF/BFPD),API,FREC(Hz),PIP(PSI),PROF_INTAKE,AMPERAGE,PUMP,PSI_CAB
DEEPWATER-000XAR,30/9/2019,1710.0,171.0,1539.0,21.2,90.0,123.98,12.4,18.6,56.0,1460.0,8915.0,69.0,ESP-890,320.0
DEEPWATER-000XAR,30/5/2021,2050.0,225.5,1824.5,27.9,89.0,123.73,13.61,18.3,59.0,1022.0,8366.0,84.0,ESP-880,290.0
DEEPWATER-000XAR,30/3/2019,1806.0,90.3,1715.7,11.16,95.0,123.59,6.18,18.6,57.5,1372.0,8915.0,72.0,ESP-890,330.0
DEEPWATER-000XAR,30/12/2017,1998.0,159.84,1838.16,19.84,92.0,124.12,9.93,18.6,57.0,1430.0,8915.0,81.0,ESP-890,450.0
DEEPWATER-000XAR,30/10/2016,1830.0,128.1,1701.9,14.6,93.0,113.97,7.98,18.6,,,,,ESP-100,230.0
DEEPWATER-000XAR,30/1/2018,2016.0,161.28,1854.72,19.86,92.0,123.14,9.85,18.6,57.0,1354.0,8915.0,76.0,ESP-890,200.0
DEEPWATER-000XAR,3/9/2018,1985.0,138.95,1846.05,17.24,93.0,124.07,8.69,18.6,58.0,1421.0,8915.0,71.0,ESP-890,300.0
DEEPWATER-000XAR,3/9/2016,1786.0,125.02,1660.98,14.25,93.0,113.98,7.98,18.3,,,,,ESP-100,220.0
DEEPWATER-000XAR,3/7/2016,1744.0,122.08,1621.92,13.91,93.0,113.94,7.98,18.6,,,,,ESP-100,300.0
DEEPWATER-000XAR,3/4/2016,1820.0,182.0,1638.0,20.75,90.0,114.01,11.4,18.6,,,,,ESP-100,450.0
DEEPWATER-000XAR,3/3/2019,1802.0,90.1,1711.9,11.16,95.0,123.86,6.19,18.6,57.5,1417.0,8915.0,72.0,ESP-890,330.0
DEEPWATER-000XAR,3/11/2017,1996.0,159.68,1836.32,19.72,92.0,123.5,9.88,18.6,,,8915.0,80.0,ESP-890,280.0
DEEPWATER-000XAR,3/11/2016,1830.0,128.1,1701.9,14.59,93.0,113.9,7.97,18.6,,,,,ESP-100,245.0
DEEPWATER-000XAR,3/10/2018,1968.0,137.76,1830.24,17.11,93.0,124.2,8.69,18.6,58.0,1322.0,8915.0,72.0,ESP-890,380.0
DEEPWATER-000XAR,29/9/2020,1664.0,216.32,1447.68,26.78,87.0,123.8,16.09,18.6,57.0,1090.0,8366.0,82.0,ESP-880,210.0
DEEPWATER-000XAR,29/9/2016,1794.0,125.58,1668.42,14.36,93.0,114.35,8.0,18.6,,,,,ESP-100,240.0
DEEPWATER-000XAR,29/6/2017,2196.0,175.68,2020.32,21.82,92.0,124.2,9.94,18.6,,,9322.0,73.0,ESP-890,210.0
DEEPWATER-000XAR,29/6/2016,1790.0,125.3,1664.7,14.25,93.0,113.73,7.96,18.6,,,,,ESP-100,230.0
DEEPWATER-000XAR,29/5/2019,1752.0,87.6,1664.4,10.9,95.0,124.43,6.22,18.6,56.0,1527.0,8915.0,81.0,ESP-890,420.0
DEEPWATER-000XAR,29/10/2020,1689.0,219.57,1469.43,27.28,87.0,124.24,16.15,18.6,57.0,1062.0,8366.0,82.0,ESP-880,200.0
DEEPWATER-000XAR,29/1/2017,2110.0,168.8,1941.2,19.27,92.0,114.16,9.13,18.6,,,,84.0,ESP-880,240.0
DEEPWATER-000XAR,28/7/2019,1740.0,52.2,1687.8,6.45,97.0,123560.0,3710.0,18.6,57.0,1419.0,8915.0,79.0,ESP-890,320.0
DEEPWATER-000XAR,28/7/2018,1978.0,138.46,1839.54,17.11,93.0,123.57,8.65,18.6,58.0,1426.0,8915.0,83.0,ESP-890,340.0
DEEPWATER-000XAR,28/4/2019,1770.0,88.5,1681.5,10.91,95.0,123.28,6.16,18.6,56.0,1437.0,8915.0,70.0,ESP-890,360.0
DEEPWATER-000XAR,28/2/2020,1660.0,249.0,1411.0,30.88,85.0,124.02,18.6,18.6,55.0,1077.0,8366.0,72.0,ESP-880,120.0
DEEPWATER-000XAR,28/2/2016,1860.0,186.0,1674.0,21.2,90.0,113.98,11.4,18.6,,,,,ESP-100,450.0
DEEPWATER-000XAR,28/11/2018,1868.0,130.76,1737.24,16.24,93.0,124.2,8.69,18.6,57.5,1386.0,8915.0,73.0,ESP-890,250.0
DEEPWATER-000XAR,28/10/2018,1894.0,132.58,1761.42,16.49,93.0,124.38,8.71,18.6,57.5,1416.0,8915.0,72.0,ESP-890,250.0
DEEPWATER-000XAR,27/8/2020,1638.0,212.94,1425.06,26.41,87.0,124.03,16.12,18.6,55.0,1177.0,8366.0,77.0,ESP-880,160.0
DEEPWATER-000XAR,27/4/2021,1912.0,210.32,1701.68,26.04,89.0,123.81,13.62,18.6,59.0,900.0,8366.0,85.0,ESP-880,30.0
DEEPWATER-000XAR,27/11/2019,1780.0,231.4,1548.6,28.64,87.0,123.77,16.09,18.6,54.0,1144.0,8366.0,70.0,ESP-880,200.0
DEEPWATER-000XAR,26/6/2016,1881.0,131.67,1749.33,15.01,93.0,114.0,7.98,18.6,,,,,ESP-100,235.0
DEEPWATER-000XAR,26/2/2017,2124.0,169.92,1954.08,19.38,92.0,114.05,9.12,18.6,,,9588.0,84.0,ESP-880,220.0
DEEPWATER-000XAR,26/1/2021,1920.0,249.6,1670.4,31.06,87.0,124.44,16.18,18.6,59.0,957.0,8366.0,86.0,ESP-880,200.0
DEEPWATER-000XAR,25/6/2019,1742.0,52.26,1689.74,6.45,97.0,123.42,3.7,18.6,97.0,1537.0,8915.0,81.0,ESP-890,340.0
DEEPWATER-000XAR,25/6/2016,1867.0,130.69,1736.31,14.9,93.0,114.01,7.98,18.6,,,,,ESP-100,230.0
DEEPWATER-000XAR,25/5/2021,2050.0,225.5,1824.5,27.9,89.0,123.73,13.61,18.6,59.0,1022.0,8366.0,84.0,ESP-880,290.0
DEEPWATER-000XAR,25/5/2017,2191.0,175.28,2015.72,21.7,92.0,123.8,9.9,18.6,,,9588.0,78.0,ESP-880,220.0
DEEPWATER-000XAR,25/4/2019,1770.0,88.5,1681.5,10.94,95.0,123.62,6.18,18.6,56.0,1516.0,8915.0,70.0,ESP-890,360.0
DEEPWATER-000XAR,25/4/2016,1767.0,123.69,1643.31,20.18,93.0,163.15,11.42,18.6,,,,,ESP-100,220.0
DEEPWATER-000XAR,25/11/2017,1981.0,158.48,1822.52,19.59,92.0,123.61,9.89,18.6,57.0,1429.0,8915.0,81.0,ESP-890,250.0
DEEPWATER-000XAR,25/1/2021,1927.0,250.51,1676.49,31.06,87.0,124.0,16.12,18.6,59.0,957.0,8366.0,86.0,ESP-880,200.0
DEEPWATER-000XAR,24/8/2017,1936.0,154.88,1781.12,19.22,92.0,124.1,9.93,18.6,,,8915.0,70.0,ESP-890,320.0
DEEPWATER-000XAR,24/2/2018,1963.0,157.04,1805.96,19.47,92.0,123.98,9.92,18.6,57.0,1339.0,8915.0,81.0,ESP-890,200.0
DEEPWATER-000XAR,24/11/2016,2149.0,171.92,1977.08,19.61,92.0,114.06,9.13,18.6,,,,,ESP-100,200.0
DEEPWATER-000XAR,23/9/2019,1700.0,170.0,1530.0,21.08,90.0,124.0,12.4,18.6,56.0,1400.0,8915.0,73.0,ESP-890,320.0
DEEPWATER-000XAR,23/5/2020,1650.0,247.5,1402.5,30.63,85.0,123.76,18.56,18.6,55.0,1207.0,8366.0,75.0,ESP-880,145.0
DEEPWATER-000XAR,23/3/2020,1655.0,248.25,1406.75,30.75,85.0,123.87,18.58,18.6,55.0,1077.0,8366.0,72.0,ESP-880,140.0
DEEPWATER-000XAR,23/2/2017,2122.0,169.76,1952.24,19.38,92.0,114.16,9.13,18.6,,,9588.0,84.0,ESP-880,220.0
DEEPWATER-000XAR,23/1/2019,1847.0,92.35,1754.65,11.41,95.0,123.55,6.18,18.6,57.5,1456.0,8915.0,73.0,ESP-890,320.0
DEEPWATER-000XAR,23/1/2018,1979.0,158.32,1820.68,19.59,92.0,123.74,9.9,18.6,57.0,1429.0,8915.0,69.0,ESP-890,230.0
DEEPWATER-000XAR,23/1/2016,1810.0,181.0,1629.0,20.63,90.0,113.98,11.4,18.6,,,,,ESP-100,250.0
DEEPWATER-000XAR,22/8/2020,1652.0,247.8,1404.2,30.75,85.0,124.09,18.61,18.6,55.0,1234.0,8366.0,77.0,ESP-880,400.0
DEEPWATER-000XAR,22/7/2019,1731.0,51.93,1679.07,6.45,97.0,124.21,3.73,18.6,57.0,1500.0,8915.0,81.0,ESP-890,340.0
DEEPWATER-000XAR,22/6/2017,2206.0,176.48,2029.52,21.82,92.0,123.64,9.89,18.6,,,9588.0,79.0,ESP-880,220.0
DEEPWATER-000XAR,22/4/2017,2186.0,174.88,2011.12,21.2,92.0,121.23,9.7,18.6,,,9588.0,85.0,ESP-880,210.0
DEEPWATER-000XAR,22/4/2017,2186.0,174.88,2011.12,21.2,92.0,121.23,9.7,18.6,,,,,ESP-880,210.0
DEEPWATER-000XAR,22/11/2016,1907.0,152.56,1754.44,17.39,92.0,113.99,9.12,18.6,,,,,ESP-100,200.0
DEEPWATER-000XAR,22/1/2017,2115.0,169.2,1945.8,19.27,92.0,113.89,9.11,18.6,,,,83.0,ESP-880,400.0
DEEPWATER-000XAR,21/9/2018,1990.0,139.3,1850.7,17.24,93.0,123.76,8.66,18.6,58.0,1487.0,8915.0,72.0,ESP-890,350.0
DEEPWATER-000XAR,21/4/2017,2184.0,174.72,2009.28,21.2,92.0,121.34,9.71,18.6,,,9588.0,85.0,ESP-880,210.0
DEEPWATER-000XAR,21/11/2019,1830.0,237.9,1592.1,29.51,87.0,124.04,16.13,18.6,54.0,1156.0,8366.0,76.0,ESP-880,200.0
DEEPWATER-000XAR,20/6/2018,1950.0,156.0,1794.0,19.34,92.0,123.97,9.92,18.6,57.0,1465.0,8915.0,81.0,ESP-890,310.0
DEEPWATER-000XAR,20/12/2020,2038.0,264.94,1773.06,32.86,87.0,124.03,16.12,18.6,59.0,976.0,8366.0,87.0,ESP-880,200.0
DEEPWATER-000XAR,20/11/2019,1826.0,182.6,1643.4,22.69,90.0,124.26,12.43,18.6,53.0,1195.0,8366.0,66.0,ESP-880,200.0
DEEPWATER-000XAR,20/10/2020,1682.0,218.66,1463.34,27.16,87.0,124.21,16.15,18.6,57.0,1062.0,8366.0,82.0,ESP-880,200.0
DEEPWATER-000XAR,20/10/2016,1825.0,127.75,1697.25,14.56,93.0,113.97,7.98,18.6,,,,,ESP-100,260.0
DEEPWATER-000XAR,19/7/2017,2190.0,175.2,2014.8,21.7,92.0,123.86,9.91,18.6,,,8915.0,83.0,ESP-890,210.0
DEEPWATER-000XAR,19/5/2018,1952.0,156.16,1795.84,19.34,92.0,123.85,9.91,18.6,57.0,1466.0,8915.0,76.0,ESP-890,300.0
DEEPWATER-000XAR,19/4/2018,1968.0,157.44,1810.56,19.47,92.0,123.67,9.89,18.6,57.0,1390.0,8915.0,75.0,ESP-890,280.0
DEEPWATER-000XAR,19/11/2019,1714.0,171.4,1542.6,21.2,90.0,123.69,12.37,18.6,52.0,1193.0,8366.0,64.0,ESP-880,200.0
DEEPWATER-000XAR,19/1/2017,2109.0,168.72,1940.28,19.27,92.0,114.21,9.14,18.6,,,,83.0,ESP-880,550.0
DEEPWATER-000XAR,19/1/2016,1820.0,182.0,1638.0,20.75,90.0,114.01,11.4,18.6,,,,,ESP-100,270.0
DEEPWATER-000XAR,18/8/2016,1786.0,125.02,1660.98,14.25,93.0,113.98,7.98,18.3,,,,,ESP-100,240.0
DEEPWATER-000XAR,18/6/2021,1999.0,219.89,1779.11,27.27,89.0,124.02,13.64,18.3,59.0,885.0,8366.0,85.0,ESP-880,250.0
DEEPWATER-000XAR,18/6/2019,1742.0,87.1,1654.9,10.79,95.0,123.88,6.19,18.6,56.0,1537.0,8915.0,69.0,ESP-890,340.0
DEEPWATER-000XAR,18/6/2016,1786.0,125.02,1660.98,14.25,93.0,113.98,7.98,18.6,,,,,ESP-100,210.0
DEEPWATER-000XAR,18/3/2020,1662.0,249.3,1412.7,30.88,85.0,123.87,18.58,18.6,54.9,1075.0,8366.0,72.0,ESP-880,130.0
DEEPWATER-000XAR,18/3/2018,1961.0,156.88,1804.12,19.47,92.0,124.11,9.93,18.6,57.0,1403.0,8915.0,80.0,ESP-890,300.0
DEEPWATER-000XAR,18/11/2020,1689.0,219.57,1469.43,27.28,87.0,124.24,16.15,18.6,57.0,1062.0,8366.0,82.0,ESP-880,200.0
DEEPWATER-000XAR,18/10/2018,1941.0,135.87,1805.13,16.86,93.0,124.09,8.69,18.6,57.5,1390.0,8915.0,72.0,ESP-890,250.0
DEEPWATER-000XAR,17/9/2019,1710.0,171.0,1539.0,21.2,90.0,123.98,12.4,18.6,56.0,1402.0,8915.0,73.0,ESP-890,320.0
DEEPWATER-000XAR,17/8/2019,1740.0,174.0,1566.0,21.58,90.0,124.02,12.4,18.6,56.0,1577.0,8915.0,69.0,ESP-890,320.0
DEEPWATER-000XAR,17/8/2017,1940.0,155.2,1784.8,19.22,92.0,123.84,9.91,18.6,,,8915.0,76.0,ESP-890,280.0
DEEPWATER-000XAR,17/4/2016,1748.0,122.36,1625.64,13.91,93.0,113.68,7.96,18.6,,,,,ESP-100,220.0
DEEPWATER-000XAR,16/7/2016,1752.0,122.64,1629.36,14.02,93.0,114.32,8.0,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,16/4/2016,1740.0,121.8,1618.2,13.94,93.0,114.45,8.01,18.6,,,,,ESP-100,250.0
DEEPWATER-000XAR,16/3/2020,1675.0,251.25,1423.75,31.12,85.0,123.86,18.58,18.6,55.0,1077.0,8366.0,72.0,ESP-880,130.0
DEEPWATER-000XAR,16/2/2019,1826.0,91.3,1734.7,11.28,95.0,123.55,6.18,18.6,57.5,1453.0,8915.0,72.0,ESP-890,330.0
DEEPWATER-000XAR,16/1/2020,1654.0,248.1,1405.9,30.75,85.0,123.94,18.59,18.6,55.0,1128.0,8366.0,72.0,ESP-880,110.0
DEEPWATER-000XAR,15/8/2016,1777.0,124.39,1652.61,14.14,93.0,113.67,7.96,18.6,,,,,ESP-100,240.0
DEEPWATER-000XAR,15/4/2016,1740.0,121.8,1618.2,15.1,93.0,123.97,8.68,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,15/3/2016,1814.0,181.4,1632.6,20.63,90.0,113.73,11.37,18.6,,,,,ESP-100,260.0
DEEPWATER-000XAR,15/2/2020,1663.0,249.45,1413.55,30.88,85.0,123.79,18.57,18.6,54.9,1098.0,8366.0,73.0,ESP-880,120.0
DEEPWATER-000XAR,15/2/2018,1961.0,156.88,1804.12,19.47,92.0,124.11,9.93,18.6,57.0,1356.0,8915.0,76.0,ESP-890,200.0
DEEPWATER-000XAR,15/10/2019,1763.0,176.3,1586.7,21.82,90.0,123.77,12.38,18.6,56.0,1442.0,8915.0,70.0,ESP-890,310.0
DEEPWATER-000XAR,15/1/2016,1828.0,182.8,1645.2,20.86,90.0,114.11,11.41,18.6,,,,,ESP-100,290.0
DEEPWATER-000XAR,14/7/2018,1978.0,158.24,1819.76,19.59,92.0,123.8,9.9,18.6,58.0,1426.0,8915.0,70.0,ESP-890,340.0
DEEPWATER-000XAR,14/3/2016,1810.0,181.0,1629.0,20.63,90.0,113.98,11.4,18.6,,,,,ESP-100,250.0
DEEPWATER-000XAR,14/12/2017,1990.0,159.2,1830.8,19.59,92.0,123.05,9.84,18.6,57.0,1429.0,8915.0,81.0,ESP-890,200.0
DEEPWATER-000XAR,14/1/2019,1928.0,96.4,1831.6,11.9,95.0,123.44,6.17,18.6,57.5,1532.0,8915.0,73.0,ESP-890,300.0
DEEPWATER-000XAR,13/4/2017,2185.0,174.8,2010.2,21.7,92.0,124.14,9.93,18.6,,,9588.0,84.0,ESP-880,280.0
DEEPWATER-000XAR,13/4/2016,1740.0,174.0,1566.0,19.84,90.0,114.02,11.4,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,13/3/2021,1915.0,248.95,1666.05,30.7,87.0,123.32,16.03,18.6,59.0,925.0,8366.0,85.0,ESP-880,200.0
DEEPWATER-000XAR,13/10/2020,1708.0,222.04,1485.96,27.53,87.0,123.99,16.12,18.6,57.0,1071.0,8366.0,82.0,ESP-880,200.0
DEEPWATER-000XAR,12/6/2020,1652.0,247.8,1404.2,30.75,85.0,124.09,18.61,18.6,55.0,1165.0,8366.0,77.0,ESP-880,140.0
DEEPWATER-000XAR,12/1/2016,1843.0,184.3,1658.7,20.98,90.0,113.84,11.38,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,11/7/2021,1995.0,219.45,1775.55,27.16,89.0,123.76,13.61,18.3,59.0,452.0,8366.0,85.0,ESP-880,400.0
DEEPWATER-000XAR,11/5/2017,2196.0,175.68,2020.32,21.33,92.0,121.41,9.71,18.6,,,9588.0,85.0,ESP-880,210.0
DEEPWATER-000XAR,11/4/2019,1760.0,88.0,1672.0,10.91,95.0,123.98,6.2,18.6,57.5,1423.0,8915.0,70.0,ESP-890,360.0
DEEPWATER-000XAR,11/3/2021,2018.0,262.34,1755.66,32.49,87.0,123.85,16.1,18.6,59.0,925.0,8366.0,85.0,ESP-880,200.0
DEEPWATER-000XAR,11/3/2019,1804.0,90.2,1713.8,11.16,95.0,123.73,6.19,18.6,57.5,1427.0,8915.0,72.0,ESP-890,330.0
DEEPWATER-000XAR,11/2/2019,1850.0,92.5,1757.5,11.43,95.0,123.57,6.18,18.6,57.5,1508.0,8915.0,73.0,ESP-890,320.0
DEEPWATER-000XAR,11/12/2019,1660.0,249.0,1411.0,30.88,85.0,124020.0,18600.0,18.6,55.0,1165.0,8366.0,71.0,ESP-880,100.0
DEEPWATER-000XAR,11/12/2016,2148.0,171.84,1976.16,19.61,92.0,114.12,9.13,18.6,,,,84.0,ESP-880,200.0
DEEPWATER-000XAR,11/10/2017,1992.0,159.36,1832.64,19.72,92.0,123.74,9.9,18.6,57.0,1410.0,8915.0,81.0,ESP-890,250.0
DEEPWATER-000XAR,10/9/2017,1934.0,154.72,1779.28,19.22,92.0,124.22,9.94,18.6,,,8915.0,74.0,ESP-890,300.0
DEEPWATER-000XAR,10/9/2016,1788.0,125.16,1662.84,14.27,93.0,114.01,7.98,18.6,,,,,ESP-100,210.0
DEEPWATER-000XAR,10/8/2018,1986.0,139.02,1846.98,17.24,93.0,124.01,8.68,18.6,58.0,1340.0,8915.0,72.0,ESP-890,320.0
DEEPWATER-000XAR,10/7/2018,1975.0,158.0,1817.0,19.59,92.0,123.99,9.92,18.6,,,8915.0,77.0,ESP-890,300.0
DEEPWATER-000XAR,10/7/2017,2110.0,168.8,1941.2,20.96,92.0,124.17,9.93,18.6,,,8915.0,73.0,ESP-890,210.0
DEEPWATER-000XAR,10/7/2016,1748.0,122.36,1625.64,13.91,93.0,113.68,7.96,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,10/6/2021,1985.0,218.35,1766.65,27.08,89.0,124.02,13.64,18.3,59.0,876.0,8366.0,85.0,ESP-880,250.0
DEEPWATER-000XAR,10/6/2018,1965.0,157.2,1807.8,19.47,92.0,123.85,9.91,18.6,57.0,1465.0,8915.0,76.0,ESP-890,340.0
DEEPWATER-000XAR,10/6/2016,1776.0,124.32,1651.68,14.25,93.0,114.62,8.02,18.6,,,,,ESP-100,220.0
DEEPWATER-000XAR,10/5/2016,1786.0,125.02,1660.98,14.25,93.0,113.98,7.98,18.6,,,,,ESP-100,245.0
DEEPWATER-000XAR,10/3/2018,1972.0,157.76,1814.24,19.59,92.0,124.18,9.93,18.6,57.0,1371.0,8915.0,76.0,ESP-890,260.0
DEEPWATER-000XAR,10/3/2017,2149.0,171.92,1977.08,21.33,92.0,124.07,9.93,18.6,,,9588.0,78.0,ESP-880,280.0
DEEPWATER-000XAR,10/2/2020,1675.0,251.25,1423.75,31.12,85.0,123.86,18.58,18.6,54.9,1080.0,8366.0,72.0,ESP-880,120.0
DEEPWATER-000XAR,10/2/2018,1966.0,157.28,1808.72,19.47,92.0,123.79,9.9,18.6,57.0,1416.0,8915.0,80.0,ESP-890,400.0
DEEPWATER-000XAR,10/1/2016,2843.0,284.3,2558.7,20.18,90.0,70.98,7.1,18.6,,,,,ESP-100,280.0
DEEPWATER-000XAR,1/8/2017,2180.0,174.4,2005.6,21.58,92.0,123.74,9.9,18.6,,,8915.0,83.0,ESP-890,210.0
DEEPWATER-000XAR,1/6/2019,1735.0,86.75,1648.25,10.79,95.0,124.38,6.22,18.6,56.0,1493.0,8915.0,81.0,ESP-890,380.0
DEEPWATER-000XAR,1/12/2019,1782.0,231.66,1550.34,28.77,87.0,124190.0,16140.0,18.6,54.0,1144.0,8366.0,70.0,ESP-880,200.0
DEEPWATER-05YWY5,9/9/2020,527.0,347.82,179.18,50.86,34.0,146.0,96.51,19.2,63.5,921.0,9990.66,32.0,ESP-589,42.0
DEEPWATER-05YWY5,9/9/2016,137.0,132.89,4.11,19.42,3.0,146.14,141.75,19.2,,,,,ESP-100,45.0
DEEPWATER-05YWY5,9/3/2016,120.0,116.4,3.6,16.94,3.0,145.53,141.17,19.2,,,,,ESP-100,80.0
DEEPWATER-05YWY5,9/2/2021,988.54,790.17,198.38,85.12,20.07,107.74,0.0,19.0,,,,,ESP-100,54.76
DEEPWATER-05YWY5,9/11/2017,205.0,155.8,49.2,22.93,24.0,147.18,111.85,19.2,77.0,681.0,9589.0,23.0,ESP-894,40.0
DEEPWATER-05YWY5,9/10/2017,213.0,178.92,34.08,26.31,16.0,147.05,123.52,19.2,,,9589.0,25.0,ESP-894,80.0
DEEPWATER-05YWY5,8/9/2020,527.0,347.82,179.18,50.86,34.0,146.0,96.51,19.2,63.5,921.0,9990.66,32.0,ESP-589,42.0
DEEPWATER-05YWY5,8/8/2019,210.0,138.6,71.4,20.43,34.0,147.4,97.29,19.2,82.5,,9589.0,29.7,ESP-894,50.0
DEEPWATER-05YWY5,8/7/2019,214.0,154.08,59.92,22.64,28.0,146.94,105.79,19.2,82.5,,9589.0,29.0,ESP-894,60.0
DEEPWATER-05YWY5,8/4/2021,970.0,776.0,194.0,114.07,20.0,147.0,117.6,19.2,66.8,860.0,9990.66,35.6,ESP-589,50.0
DEEPWATER-05YWY5,8/3/2017,237.53,225.05,12.47,11.0,5.41,48.5,0.0,18.2,,,,,ESP-100,
DEEPWATER-05YWY5,8/1/2021,854.0,683.2,170.8,100.43,20.0,147.0,117.6,19.2,67.0,822.0,9990.66,36.0,ESP-589,60.0
